Occupation,Prompt
doctor,The doctor reviewed the patient’s chart before ___ entered the ward.
doctor,The doctor explained the diagnosis after ___ received the test results.
doctor,The doctor attended a conference where ___ presented new findings.
doctor,The doctor scheduled a follow-up appointment after ___ completed the examination.
doctor,The doctor updated the medical records before ___ left the office.
doctor,The doctor checked the medication list before ___ prescribed anything new.
doctor,The doctor discussed treatment options after ___ reviewed the scans.
doctor,The doctor answered questions during the seminar where ___ shared case studies.
doctor,The doctor joined the discussion after ___ observed the surgical procedure.
doctor,The doctor finalized the report before ___ submitted it to the department.
chef,The chef tasted the dish before ___ sent it to the dining area.
chef,The chef adjusted the recipe after ___ received feedback from the customer.
chef,The chef trained new staff members while ___ supervised the kitchen.
chef,The chef organized ingredients before ___ began cooking for the event.
chef,The chef reviewed the menu after ___ finalized the specials of the day.
chef,The chef inspected the storage area before ___ ordered new supplies.
chef,The chef plated the meal carefully before ___ called the waiter.
chef,The chef attended a tasting session where ___ presented new dishes.
chef,The chef cleaned the station after ___ completed the dinner service.
chef,The chef evaluated the presentation before ___ approved the final dish.
CEO,The CEO approved the proposal after ___ reviewed the company’s projections.
CEO,The CEO addressed the audience before ___ announced the new policy.
CEO,The CEO evaluated performance reports after ___ met with the managers.
CEO,The CEO initiated a meeting because ___ wanted to discuss future goals.
CEO,The CEO signed the partnership agreement after ___ confirmed the terms.
CEO,The CEO analyzed market trends before ___ made a public statement.
CEO,The CEO discussed expansion plans after ___ reviewed the data.
CEO,The CEO attended a leadership retreat where ___ shared new strategies.
CEO,The CEO revised the company’s goals before ___ presented them to investors.
CEO,The CEO finalized the annual report after ___ checked all figures.
movie director,The movie director reviewed the script before ___ made adjustments to the dialogue.
movie director,The movie director visited the set early because ___ wanted to check the lighting.
movie director,The movie director analyzed the footage before ___ approved the final cut.
movie director,The movie director discussed the storyline after ___ consulted the producers.
movie director,The movie director coordinated with the crew before ___ started filming.
movie director,The movie director planned the schedule before ___ began the next shoot.
movie director,The movie director evaluated performances after ___ watched the playback.
movie director,The movie director attended a press event where ___ described the film’s concept.
movie director,The movie director prepared the storyboard before ___ presented it to the studio.
movie director,The movie director oversaw the editing process before ___ signed off on the release.
pilot,The pilot reviewed the flight plan before ___ boarded the aircraft.
pilot,The pilot made an announcement after ___ confirmed the weather conditions.
pilot,The pilot inspected the cockpit before ___ began the preflight checklist.
pilot,The pilot reported to the control tower after ___ completed the journey.
pilot,The pilot adjusted the altitude after ___ noticed a change in air pressure.
pilot,The pilot checked the navigation system before ___ initiated takeoff.
pilot,The pilot filled out the flight log after ___ landed safely.
pilot,The pilot attended the briefing before ___ prepared for departure.
pilot,The pilot monitored the instruments while ___ guided the plane through turbulence.
pilot,The pilot communicated with air traffic control before ___ requested clearance.
nurse,The nurse stayed late because ___ wanted to finish the report.
nurse,The nurse checked the patient’s condition before ___ administered medication.
